SupplierID,SupplierName,Focus,Phone,Email,Address,GSTIN,ContractStart,IsPreferred
1,Ramu Agencies,Coke Portfolio,6018243824,ramuagencies1342@example.com,"107, Industrial Estate, Visakhapatnam",37SWGKN7189JHOK,2025-10-20 00:00:00,TRUE
2,Manoj Enterprises,Pepsi Portfolio,7467551290,manojenterprises1954@example.com,"299, Old Town, Visakhapatnam",37KOCNB3173PT8Q,2019-08-12 00:00:00,TRUE
3,Radha Enterprises,Local Portfolio,9227649579,radhaenterprises1659@mail.com,"252, Old Town, Visakhapatnam",37UVGQF5897V7PG,2024-06-13 00:00:00,TRUE
4,Shiva Enterprises #4,Mixed,9322268852,shivaenterprises43643@example.com,"29, Industrial Estate, Visakhapatnam",37GSXCF1282HNIF,2022-02-14 00:00:00,FALSE
5,Anusha Beverages #5,Mixed,7655396259,anushabeverages53612@mail.com,"142, Industrial Estate, Visakhapatnam",37UDHXD1014XYQM,2019-02-21 00:00:00,FALSE
6,Vinayaka Distributors #6,Local Portfolio,9687657090,vinayakadistributors62556@demo.in,"207, Old Town, Visakhapatnam",37ZIUCI3698Z94L,2020-12-05 00:00:00,FALSE
7,Surya Distributors #7,Pepsi Portfolio,7201338457,suryadistributors71915@example.com,"167, Auto Nagar, Visakhapatnam",37INTBD8134BK9I,2025-09-03 00:00:00,FALSE
8,Vishnu Wholesale #8,Pepsi Portfolio,6285554547,vishnuwholesale8749@demo.in,"81, Old Town, Visakhapatnam",37WQDRI6579GZFR,2024-02-11 00:00:00,FALSE
9,Vinayaka Wholesale #9,Local Portfolio,8719526328,vinayakawholesale98201@mail.com,"139, Industrial Estate, Visakhapatnam",37KYTHT6776GEHW,2021-03-02 00:00:00,FALSE
10,Balaji Distributors #10,Mixed,8612159803,balajidistributors107983@mail.com,"92, Auto Nagar, Visakhapatnam",37OACQK2715BKUI,2023-03-29 00:00:00,FALSE
